CurrencyIsoCode,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__SourceLookupField__c,SBQQ__TargetObject__c,SBQQ__ValueField__c,SBQQ__Value__c,Description__c,SBQQ__SourceVariable__c,Errors,Id
EUR,a0c5E0000020LYaQAM,SalesListPriceLog__c,"SalesListPriceLog__c + "": Margin"" + Quant__c +SBQQ__Quantity__c",,,Quote Line,,0,,,,a0a5E000004m1YaQAI
EUR,a0c5E0000020LYKQA2,IsAdditionalQuantityBreakClonedRenewal__c,true,0,,Quote Line,,0,,,,a0a5E000004m1YbQAI
EUR,a0c5E0000020LYVQA2,SalesListPriceUOMread__c,,5,BaseUOM__c,Quote Line,,0,,,,a0a5E000004m1YcQAI
EUR,a0c5E0000020LYTQA2,SalesListPriceUOMread__c,,5,BaseUOM__c,Quote Line,,0,,,,a0a5E000004m1YdQAI
EUR,a0c5E0000020LYUQA2,SalesListPriceUOMread__c,,5,BaseUOM__c,Quote Line,,0,,,,a0a5E000004m1YeQAI
EUR,a0c5E0000020LYWQA2,SalesListPriceUOMread__c,,5,BaseUOM__c,Quote Line,,0,,,,a0a5E000004m1YfQAI
EUR,a0c5E0000020LYXQA2,SalesListPriceUOMread__c,,5,BaseUOM__c,Quote Line,,0,,,,a0a5E000004m1YgQAI
EUR,a0c5E0000020LYDQA2,Quant__c,"if (BLANKVALUE(Quant__c, 0) = 0, 

BLANKVALUE(SBQQ__Quantity__c,1), 

BLANKVALUE(Quant__c, 0))",5,,Quote Line,,0,,,,a0a5E000004m1YhQAI
EUR,a0c5E0000020LYQQA2,UOM__c,"IF (BLANKVALUE(TEXT(UOM__c), '') = '', 
BLANKVALUE(BaseUOM__c, ""Kg""),TEXT(UOM__c))",5,,Quote Line,,0,,,,a0a5E000004m1YiQAI
EUR,a0c5E0000020LYhQAM,SalesListPriceLog__c,"SalesListPriceLog__c + "": Appr3"" +  TF_RecordChanged__c + (TF_MarkUp1__c -MarkUp1__c) + TF_PricePerUOM__c + PricePerUOM__c",5,,Quote Line,,AdditionalTeamMember__c.Email__c,,,,a0a5E000004m1YjQAI
EUR,a0c5E0000020LYgQAM,SalesListPriceLog__c,"SalesListPriceLog__c + "": Appr"" + PricingSystem__c + TEXT(PricePerUOM__c) + TEXT(MarkUp1__c) + TF_PricingSystem__c + TEXT(TF_PricePerUOM__c) + TEXT(TF_MarkUp1__c)",5,,Quote Line,,,,,,a0a5E000004m1YkQAI
EUR,a0c5E0000020LYQQA2,SBQQ__ListPrice__c,"BLANKVALUE(SBQQ__ListPrice__c, 0)",10,,Quote Line,,Custom,,,,a0a5E000004m1YlQAI
EUR,a0c5E0000020LYDQA2,SBQQ__SpecialPriceType__c,,10,,Quote Line,,Custom,,,,a0a5E000004m1YmQAI
EUR,a0c5E0000020LYSQA2,SalesListPrice__c,,10,Id,Quote Line,,Custom,,,,a0a5E000004m1YnQAI
EUR,a0c5E0000020LYEQA2,PricingSystem__c,"IF (ISBLANK(Id) , (BLANKVALUE(PricingSystem__c, (IF (SBQQ__Quote__r.QuoteType__c = ""Opportunity"" || SBQQ__Quote__r.QuoteType__c = ""Renewal"", 'Manual','List'))))
,
BLANKVALUE(PricingSystem__c, ''))",10,,Quote Line,,,,,,a0a5E000004m1YoQAI
EUR,a0c5E0000020LY9QAM,UOM__c,,10,DefaultPricingUoM__c,Quote Line,,,,,,a0a5E000004m1YpQAI
EUR,a0c5E0000020LYJQA2,DirectSellingRelationship__c,,10,Id,Quote Line,,,,,,a0a5E000004m1YqQAI
EUR,a0c5E0000020LYWQA2,SalesListPrice__c,,10,Id,Quote Line,,,,,,a0a5E000004m1YrQAI
